Region	Kod Teryt	Kod BDR	Zadłużenie gmin	Jednostka	Okres
Kuźnica	2011052	3203711052	13.2751	%	2015
Aleksandrów	1010012	1101710012	13.2794	%	2015
Biskupice	1219012	2122019012	13.2865	%	2015
Sieradz-wieś	1014082	1101814082	13.3393	%	2015
Piszczac	0601112	3060901112	13.3411	%	2015
Lutowiska	1801052	3183301052	13.3467	%	2015
Pszów	2415011	2244915011	13.3678	%	2015
Kamień	1816082	3183516082	13.3715	%	2015
Książ Wielkopolski	3026033	4306126033	13.3728	%	2015
Stare Czarnowo	3206072	4326606072	13.3888	%	2015
Sanok-wieś	1817052	3183317052	13.4009	%	2015
Opole Lubelskie	0612053	3061212053	13.4021	%	2015
Popów	2406072	2244606072	13.4036	%	2015
Radziejów-miasto	0411011	6040811011	13.4618	%	2015
Łyse	1415072	1142615072	13.5092	%	2015
Lubanie	0418102	6040818102	13.5336	%	2015
Radomsko-wieś	1012122	1101712122	13.5448	%	2015
Bielawy	1005022	1101905022	13.5566	%	2015
Gołańcz	3028033	4306028033	13.5999	%	2015
Bakałarzewo	2012012	3203912012	13.6043	%	2015
Krościenko Wyżne	1807062	3183307062	13.6309	%	2015
Zapolice	1019032	1101819032	13.6472	%	2015
Kodrąb	1012072	1101712072	13.6977	%	2015
Lądek	3023022	4305823022	13.6987	%	2015
Siemiątkowo	1437052	1142537052	13.7126	%	2015
Augustów-wieś	2001022	3203901022	13.7159	%	2015
Latowicz	1412102	1142912102	13.7455	%	2015
Banie	3206012	4326606012	13.7918	%	2015
Górzno	1403052	1142903052	13.8107	%	2015
Puszcza Mariańska	1438032	1143038032	13.8502	%	2015
Jasło-miasto	1805011	3183305011	13.8888	%	2015
Osieck	1417062	1142917062	13.8942	%	2015
Rzepin	0805043	4081305043	13.9077	%	2015
Nieporęt	1408032	1142908032	13.91	%	2015
Brody	0811032	4081411032	13.9702	%	2015
Konstantynów	0601072	3060901072	13.9725	%	2015
Koźminek	3007052	4305707052	13.9767	%	2015
Brochów	1428022	1143028022	13.9917	%	2015
Horodło	0604032	3061004032	14.0096	%	2015
Miłomłyn	2815073	6285415073	14.0138	%	2015
Jabłonna	1408022	1142908022	14.0338	%	2015
Dąbrowice	1002032	1101902032	14.034	%	2015
Police	3211043	4326611043	14.0846	%	2015
Płośnica	2803052	6285403052	14.0858	%	2015
Skoki	3028053	4306028053	14.1232	%	2015
Ujście	3019073	4306019073	14.1257	%	2015
Ostrów Mazowiecka-miasto	1416011	1142616011	14.1289	%	2015
Chełmno-wieś	0404022	6040704022	14.131	%	2015
Radziejowice	1438042	1143038042	14.1403	%	2015
Szadek	1019023	1101819023	14.1548	%	2015
Nowe Piekuty	2013072	3203813072	14.2708	%	2015
Stubno	1813092	3183413092	14.2836	%	2015
Polska Cerekiew	1603052	5163203052	14.2857	%	2015
Praszka	1608043	5163208043	14.2941	%	2015
Jeżewo	0414042	6040714042	14.3235	%	2015
Goczałkowice-Zdrój	2410012	2245110012	14.3339	%	2015
Żukowice	0203062	5020203062	14.3535	%	2015
Brodnica	3026012	4306126012	14.3914	%	2015
Tuczno	3217043	4326317043	14.4142	%	2015
Mycielin	3007072	4305707072	14.4296	%	2015
Psary	2401062	2245001062	14.4478	%	2015
Lubań-wieś	0210042	5020110042	14.461	%	2015
Tykocin	2002123	3203702123	14.4656	%	2015
Głowno-miasto	1020011	1101520011	14.5004	%	2015
Zaniemyśl	3025052	4306125052	14.5314	%	2015
Żelechlinek	1016112	1101716112	14.5387	%	2015
Rogowo	0419052	6040819052	14.5639	%	2015
Miedźno	2406042	2244606042	14.5861	%	2015
Dobryszyce	1012022	1101712022	14.6125	%	2015
Igołomia-Wawrzeńczyce	1206022	2122006022	14.6206	%	2015
Iwierzyce	1815012	3183515012	14.6241	%	2015
Słubice	1419112	1142519112	14.6348	%	2015
Kamionka Wielka	1210052	2122210052	14.7166	%	2015
Darłowo-wieś	3213032	4326313032	14.7305	%	2015
Rossosz	0601132	3060901132	14.7619	%	2015
Przytuły	2007062	3203807062	14.763	%	2015
Kuryłówka	1808032	3183608032	14.7788	%	2015
Chrzanów	0605022	3061205022	14.8781	%	2015
Świnice Warckie	1004072	1101904072	14.9607	%	2015
Ozorków-miasto	1020021	1101520021	14.9813	%	2015
Piechowice	0206031	5020106031	15.0081	%	2015
Brzeziny	3007022	4305707022	15.0554	%	2015
Radzanów	1413042	1142513042	15.0586	%	2015
Czerniewice	1016042	1101716042	15.1503	%	2015
Maszewo	0802072	4081402072	15.1581	%	2015
Czarnków-wieś	3002022	4306002022	15.1748	%	2015
Rajgród	2004043	3203904043	15.1799	%	2015
Strzelce	1002102	1101902102	15.1853	%	2015
Leżajsk-wieś	1808042	3183608042	15.2316	%	2015
Otyń	0804072	4081404072	15.2399	%	2015
Nowa Wieś Lęborska	2208042	6224108042	15.2402	%	2015
Łabunie	0620052	3061020052	15.2415	%	2015
Pszczółki	2204062	6224004062	15.3061	%	2015
Narew	2005082	3203805082	15.31	%	2015
Fajsławice	0606022	3061006022	15.3256	%	2015
Stare Pole	2209082	6224209082	15.3825	%	2015
Wilczęta	2802072	6285402072	15.41	%	2015
Bobowa	1205032	2122205032	15.4326	%	2015
Pruszcz Gdański-wieś	2204042	6224004042	15.4466	%	2015
Brzuze	0412022	6040812022	15.5392	%	2015
Nowe Skalmierzyce	3017023	4305717023	15.5558	%	2015
Sosnowica	0613072	3060913072	15.57	%	2015
Łomianki	1432053	1143032053	15.5805	%	2015
Kijewo Królewskie	0404032	6040704032	15.5859	%	2015
Supraśl	2002093	3203702093	15.5954	%	2015
Tuszów Narodowy	1811092	3183611092	15.5983	%	2015
Lubomino	2809042	6285609042	15.6171	%	2015
Piątek	1004062	1101904062	15.682	%	2015
Wągrowiec-wieś	3028072	4306028072	15.7463	%	2015
Ostroróg	3024053	4306124053	15.7625	%	2015
Sypniewo	1411092	1142611092	15.7867	%	2015
Mietków	0223062	5020423062	15.8007	%	2015
Dolice	3214042	4326414042	15.8109	%	2015
Maciejowice	1403072	1142903072	15.8647	%	2015
Kamienna Góra-wieś	0207022	5020107022	15.9141	%	2015
Sicienko	0403072	6040603072	15.9214	%	2015
Wiżajny	2012092	3203912092	15.9249	%	2015
Kąkolewnica Wschodnia	0615042	3060915042	15.9324	%	2015
Wasilków	2002133	3203702133	15.9464	%	2015
Kleczew	3010043	4305810043	15.9515	%	2015
Gryfów Śląski	0212013	5020112013	15.9528	%	2015
Kłodawa	0801042	4081301042	15.9814	%	2015
Dzierzążnia	1420052	1142520052	15.9848	%	2015
Leoncin	1414032	1142914032	15.989	%	2015
Dąbrowa Biskupia	0407022	6040807022	15.9895	%	2015
Rojewo	0407082	6040807082	16.0172	%	2015
Kowiesy	1015042	1101915042	16.047	%	2015
Tomaszów Mazowiecki-wieś	1016092	1101716092	16.1013	%	2015
Jastrząb	1430022	1142730022	16.1086	%	2015
Głowaczów	1407022	1142707022	16.1149	%	2015
Budry	2819012	6285519012	16.1188	%	2015
Nozdrzec	1802062	3183302062	16.1296	%	2015
Lubień	1209022	2122009022	16.1313	%	2015
Tarnawatka	0618092	3061018092	16.1953	%	2015
Trzcianka	3002073	4306002073	16.2417	%	2015
Tuchomie	2201102	6224101102	16.2504	%	2015
Sułoszowa	1206132	2122006132	16.2565	%	2015
Brzostek	1803022	3183603022	16.2618	%	2015
Nowa Brzeźnica	1009032	1101809032	16.2842	%	2015
Michałowice	1421042	1143021042	16.2875	%	2015
Chociwel	3214023	4326414023	16.3016	%	2015
Prabuty	2207043	6224207043	16.3111	%	2015
Sławoborze	3216052	4326316052	16.3297	%	2015
Wróblew	1014102	1101814102	16.3541	%	2015
Bodzanów	1419022	1142519022	16.3635	%	2015
Świecie	0414093	6040714093	16.3658	%	2015
Siedliszcze	0603112	3061003112	16.4204	%	2015
Przasnysz-wieś	1422072	1142622072	16.4226	%	2015
Boleszkowice	3210022	4326410022	16.4686	%	2015
Kwilcz	3014022	4305914022	16.4805	%	2015
Ropa	1205082	2122205082	16.5007	%	2015
Szerzyny	1805102	3183305102	16.5273	%	2015
Olsztyn-wieś	2404122	2244604122	16.5448	%	2015
Rzewnie	1411082	1142611082	16.5618	%	2015
Krzykosy	3025022	4306125022	16.5828	%	2015
Kuślin	3015012	4305915012	16.5948	%	2015
Potok Wielki	0605072	3061205072	16.5986	%	2015
Dzwola	0605032	3061205032	16.6301	%	2015
Jaświły	2008032	3203908032	16.6962	%	2015
Obrzycko-miasto	3024011	4306124011	16.7038	%	2015
Golina	3010013	4305810013	16.7146	%	2015
Olszówka	3009092	4305809092	16.7461	%	2015
Dubicze Cerkiewne	2005052	3203805052	16.7504	%	2015
Miedzichowo	3015032	4305915032	16.771	%	2015
Sadlinki	2207062	6224207062	16.7829	%	2015
Jeleniewo	2012032	3203912032	16.7849	%	2015
Osiecznica	0201052	5020101052	16.7908	%	2015
Lutomiersk	1008062	1101508062	16.8005	%	2015
Zduńska Wola-wieś	1019042	1101819042	16.8244	%	2015
Zbąszyń	3015063	4305915063	16.8312	%	2015
Trzcinica	3008072	4305708072	16.8326	%	2015
Przykona	3027062	4305827062	16.8374	%	2015
Kolonowskie	1611033	5163211033	16.8916	%	2015
Rybno	1428062	1143028062	16.896	%	2015
Siemiatycze-wieś	2010092	3203810092	16.9311	%	2015
Grodziczno	2812032	6285412032	16.9381	%	2015
Goszczyn	1406042	1143006042	16.9613	%	2015
Rawicz	3022053	4305922053	17.041	%	2015
Oleśnica-miasto	0214011	5020414011	17.0638	%	2015
Sitkówka-Nowiny	2604172	3265204172	17.0878	%	2015
Ujazd	1611063	5163211063	17.0909	%	2015
Andrespol	1006022	1101506022	17.0919	%	2015
Baranów	1405032	1143005032	17.1094	%	2015
Regnów	1013052	1101913052	17.1151	%	2015
Borzytuchom	2201012	6224101012	17.1192	%	2015
Dominowo	3025012	4306125012	17.1419	%	2015
Sławno	1007072	1101707072	17.1542	%	2015
Drawsko	3002032	4306002032	17.18	%	2015
Mieroszów	0221063	5020321063	17.1932	%	2015
Sochaczew-wieś	1428072	1143028072	17.1979	%	2015
Żarki	2409053	2244609053	17.2117	%	2015
Białobrzegi	1401013	1142701013	17.2348	%	2015
Orchowo	3023032	4305823032	17.2485	%	2015
Wadowice Górne	1811102	3183611102	17.2517	%	2015
Drzewica	1007023	1101707023	17.2582	%	2015
Koło-wieś	3009072	4305809072	17.2908	%	2015
Czyże	2005042	3203805042	17.2985	%	2015
Baranów Sandomierski	1820013	3183620013	17.3158	%	2015
Lyski	2412042	2244912042	17.3309	%	2015
Pysznica	1818032	3183618032	17.377	%	2015
Włoszakowice	3013072	4305913072	17.4325	%	2015
Otmuchów	1607063	5163107063	17.4337	%	2015
Lubochnia	1016062	1101716062	17.461	%	2015
Frampol	0602053	3061002053	17.4877	%	2015
Brańsk-miasto	2003021	3203803021	17.5109	%	2015
Ciepłowody	0224022	5020324022	17.5176	%	2015
Skrwilno	0412052	6040812052	17.5188	%	2015
Brzeźnica	1218022	2122318022	17.5258	%	2015
Szczutowo	1427062	1142527062	17.5634	%	2015
Mirów	1430032	1142730032	17.6038	%	2015
Miejska Górka	3022033	4305922033	17.6587	%	2015
Międzyrzecz	0803023	4081303023	17.6668	%	2015
Łaskarzew-wieś	1403062	1142903062	17.6759	%	2015
Jastrowie	3031023	4306031023	17.7042	%	2015
Jonkowo	2814072	6285614072	17.7333	%	2015
Lasowice Wielkie	1604032	5163104032	17.7755	%	2015
Koszyce	1214022	2122014022	17.7827	%	2015
Zawadzkie	1611073	5163211073	17.7851	%	2015
Hajnówka-wieś	2005062	3203805062	17.7922	%	2015
Warta	1014093	1101814093	17.7947	%	2015
Radzanowo	1419102	1142519102	17.8064	%	2015
Chmielno	2205012	6224005012	17.8245	%	2015
Kęsowo	0416032	6040716032	17.8495	%	2015
Rypin-miasto	0412011	6040812011	17.8511	%	2015
Powidz	3023052	4305823052	17.8597	%	2015
Maków Mazowiecki	1411011	1142611011	17.9248	%	2015
Miastko	2201063	6224101063	17.9628	%	2015
Marianowo	3214082	4326414082	17.9851	%	2015
Sępólno Krajeńskie	0413023	6040713023	17.9876	%	2015
Łęczyca-wieś	1004052	1101904052	18.0064	%	2015
Turek-wieś	3027082	4305827082	18.01	%	2015
Reda	2215011	6224015011	18.0557	%	2015
Radłów	1608052	5163208052	18.057	%	2015
Wisła	2403031	2244403031	18.0629	%	2015
Leśna	0210033	5020110033	18.0755	%	2015
Biała Podlaska-wieś	0601032	3060901032	18.1009	%	2015
Suchań	3214113	4326414113	18.1088	%	2015
Santok	0801062	4081301062	18.1482	%	2015
Kosów Lacki	1429053	1142629053	18.1655	%	2015
Cisek	1603032	5163203032	18.1709	%	2015
Chełmek	1213033	2122313033	18.1871	%	2015
Ostrówek	0608112	3061108112	18.1951	%	2015
Nieszawa	0401031	6040801031	18.2028	%	2015
Konopnica	0609082	3061109082	18.2532	%	2015
Dąbrowa Tarnowska	1204023	2122404023	18.2939	%	2015
Bielany	1429022	1142629022	18.2959	%	2015
Tuchola	0416063	6040716063	18.3088	%	2015
Barwice	3215023	4326315023	18.3525	%	2015
Kruszwica	0407063	6040807063	18.3874	%	2015
Dydnia	1802032	3183302032	18.3878	%	2015
Gorlice-wieś	1205042	2122205042	18.4079	%	2015
Lipsko	1409033	1142709033	18.4134	%	2015
Szubin	0410053	6040810053	18.5192	%	2015
Chybie	2403052	2244403052	18.5237	%	2015
Starogard Gdański-wieś	2213122	6224213122	18.5397	%	2015
Rudnik	2411082	2244911082	18.567	%	2015
Stanisławów	1412142	1142912142	18.596	%	2015
Sławno-wieś	3213062	4326313062	18.6018	%	2015
Barczewo	2814013	6285614013	18.6295	%	2015
Osiek	2213082	6224213082	18.6305	%	2015
Brzeg	1601011	5163101011	18.6345	%	2015
Kroczyce	2416042	2245016042	18.6465	%	2015
Dobrzeń Wielki	1609032	5163209032	18.6561	%	2015
Bochnia-wieś	1201022	2122001022	18.6823	%	2015
Drzycim	0414032	6040714032	18.7244	%	2015
Dzierzgoń	2216013	6224216013	18.7576	%	2015
Dzikowiec	1806062	3183506062	18.771	%	2015
Szczecinek-wieś	3215062	4326315062	18.7785	%	2015
Lubiewo	0416042	6040716042	18.7835	%	2015
Grzegorzew	3009052	4305809052	18.8213	%	2015
Margonin	3001043	4306001043	18.8351	%	2015
Biała	1610013	5163110013	18.8952	%	2015
Potok Górny	0602112	3061002112	18.9215	%	2015
Lanckorona	1218042	2122318042	18.9256	%	2015
Bielsko-Biała	2461011	2244461011	18.9644	%	2015
Racibórz	2411011	2244911011	19.001	%	2015
Zaleszany	1818062	3183618062	19.0139	%	2015
Chodzież-wieś	3001032	4306001032	19.0254	%	2015
Woźniki	2407083	2244507083	19.0285	%	2015
Jakubów	1412082	1142912082	19.0398	%	2015
Ksawerów	1008052	1101508052	19.0415	%	2015
Trzcianne	2008072	3203908072	19.0908	%	2015
Kamień Krajeński	0413013	6040713013	19.0971	%	2015
Zgierz-wieś	1020092	1101520092	19.109	%	2015
Wąbrzeźno-wieś	0417052	6040717052	19.1273	%	2015
Chodecz	0418063	6040818063	19.2221	%	2015
Krośniewice	1002043	1101902043	19.2308	%	2015
Baruchowo	0418022	6040818022	19.2474	%	2015
Starcza	2404162	2244604162	19.2647	%	2015
Studzienice	2201082	6224101082	19.2781	%	2015
Turośń Kościelna	2002112	3203702112	19.287	%	2015
Raszków	3017063	4305717063	19.2902	%	2015
Jedwabne	2007013	3203807013	19.2949	%	2015
Ostrzeszów	3018073	4305718073	19.3044	%	2015
Strzeleczki	1605032	5163205032	19.3106	%	2015
Miedzna	1433062	1142633062	19.3449	%	2015
Racławice	1208062	2122008062	19.3494	%	2015
Rakoniewice	3005043	4305905043	19.361	%	2015
Żary-wieś	0811102	4081411102	19.3641	%	2015
Świątki	2814122	6285614122	19.3938	%	2015
Dobre Miasto	2814033	6285614033	19.3947	%	2015
Radomsko-miasto	1012011	1101712011	19.4002	%	2015
Jedlińsk	1425052	1142725052	19.4412	%	2015
Białopole	0603022	3061003022	19.5918	%	2015
Ręczno	1010072	1101710072	19.6091	%	2015
Kuczbork-Osada	1437022	1142537022	19.6169	%	2015
Walim	0221082	5020321082	19.6197	%	2015
Oksa	2602052	3265302052	19.6222	%	2015
Wierzchlas	1017102	1101817102	19.6465	%	2015
Hyżne	1816072	3183516072	19.6554	%	2015
Żnin	0419063	6040819063	19.6589	%	2015
Lisków	3007062	4305707062	19.6594	%	2015
Ozorków-wieś	1020062	1101520062	19.6799	%	2015
Somianka	1435042	1142635042	19.6848	%	2015
Leszno	1432042	1143032042	19.6977	%	2015
Czarnocin	2603022	3265303022	19.7385	%	2015
Wińsko	0222022	5020422022	19.7458	%	2015
Mikołajki	2810023	6285610023	19.767	%	2015
Solec nad Wisłą	1409062	1142709062	19.7747	%	2015
Repki	1429062	1142629062	19.7773	%	2015
Dębowa Kłoda	0613012	3060913012	19.7818	%	2015
Tuliszków	3027073	4305827073	19.7885	%	2015
Siewierz	2401073	2245001073	19.8148	%	2015
Legnickie Pole	0209052	5020209052	19.8181	%	2015
Kotla	0203042	5020203042	19.8329	%	2015
Pawłowiczki	1603042	5163203042	19.8436	%	2015
Murów	1609062	5163209062	19.8524	%	2015
Gorzyce	1820022	3183620022	19.857	%	2015
Gryfice	3205023	4326405023	19.8583	%	2015
Olesno	1608033	5163208033	19.8653	%	2015
Wołczyn	1604043	5163104043	19.8825	%	2015
Białaczów	1007012	1101707012	19.8956	%	2015
Radziechowy-Wieprz	2417102	2244417102	19.945	%	2015
Przyrów	2404142	2244604142	19.9595	%	2015
Biesiekierz	3209022	4326309022	19.972	%	2015
Godzianów	1015032	1101915032	19.9775	%	2015
Łask	1003023	1101803023	19.9884	%	2015
Wilczyce	2609082	3265309082	20.0168	%	2015
Władysławowo	2211043	6224011043	20.0295	%	2015
Hanna	0619022	3060919022	20.0317	%	2015
Stary Dzierzgoń	2216032	6224216032	20.0379	%	2015
Kikół	0408052	6040808052	20.0633	%	2015
Święciechowa	3013052	4305913052	20.0658	%	2015
Filipów	2012022	3203912022	20.0765	%	2015
Janów	2011022	3203711022	20.108	%	2015
Nowy Sącz	1262011	2122262011	20.1189	%	2015
Malbork-wieś	2209042	6224209042	20.1203	%	2015
Brudzew	3027022	4305827022	20.1305	%	2015
Bodzechów	2607032	3265207032	20.1555	%	2015
Stryków	1020083	1101520083	20.1702	%	2015
Kłodawa	3009063	4305809063	20.2079	%	2015
Strzałkowo	3023072	4305823072	20.2224	%	2015
Świebodzice	0219021	5020319021	20.2264	%	2015
Mielec-wieś	1811052	3183611052	20.2317	%	2015
Czarnożyły	1017022	1101817022	20.3093	%	2015
Kłobuck	2406013	2244606013	20.3825	%	2015
Pępowo	3004042	4305904042	20.3934	%	2015
Brąszewice	1014032	1101814032	20.406	%	2015
Grębów	1820032	3183620032	20.4308	%	2015
Zawidz	1427072	1142527072	20.4311	%	2015
Imielin	2414021	2245114021	20.4917	%	2015
Kąty Wrocławskie	0223043	5020423043	20.4986	%	2015
Stara Błotnica	1401042	1142701042	20.5041	%	2015
Mszana Dolna-miasto	1207021	2122207021	20.5069	%	2015
Kołobrzeg-miasto	3208011	4326308011	20.5145	%	2015
Radzyń Podlaski-wieś	0615062	3060915062	20.5179	%	2015
Leśna Podlaska	0601082	3060901082	20.5211	%	2015
Przytoczna	0803032	4081303032	20.5282	%	2015
Gliwice	2466011	2244766011	20.533	%	2015
Żuromin	1437063	1142537063	20.5347	%	2015
Poniatowa	0612063	3061212063	20.5393	%	2015
Porąbka	2402082	2244402082	20.5736	%	2015
Świerzawa	0226043	5020126043	20.586	%	2015
Grodziec	3010022	4305810022	20.5915	%	2015
Brzyska	1805022	3183305022	20.6086	%	2015
Świecie nad Osą	0406062	6040706062	20.6125	%	2015
Szczytno-miasto	2817011	6285617011	20.6135	%	2015
Ryn	2806083	6285506083	20.6208	%	2015
Tarnowo Podgórne	3021172	4306121172	20.651	%	2015
Śmigiel	3011053	4305911053	20.6546	%	2015
Wilków	1606052	5163106052	20.68	%	2015
Łowicz-miasto	1005011	1101905011	20.7225	%	2015
Ostrów Lubelski	0608103	3061108103	20.7346	%	2015
Gaworzyce	0216022	5020216022	20.7636	%	2015
Gniezno-wieś	3003032	4305803032	20.7653	%	2015
Żagań-miasto	0810021	4081410021	20.7948	%	2015
Krzyż Wielkopolski	3002043	4306002043	20.8116	%	2015
Wilamowice	2402093	2244402093	20.8131	%	2015
Głowno-wieś	1020052	1101520052	20.8145	%	2015
Łosice	1410023	1142610023	20.82	%	2015
Annopol	0607023	3061207023	20.8369	%	2015
Pruszcz	0414082	6040714082	20.842	%	2015
Banie Mazurskie	2818012	6285518012	20.8471	%	2015
Przemęt	3029012	4305929012	20.8775	%	2015
Jemielnica	1611022	5163211022	20.8879	%	2015
Przysucha	1423063	1142723063	20.8961	%	2015
Jutrosin	3022023	4305922023	20.9109	%	2015
Kamieniec	3005032	4305905032	20.9195	%	2015
Pszczyna	2410053	2245110053	20.9206	%	2015
Kruklanki	2806052	6285506052	20.9227	%	2015
Rychtal	3008062	4305708062	20.958	%	2015
Błędów	1406022	1143006022	20.9958	%	2015
Lewin Brzeski	1601043	5163101043	21.0082	%	2015
Sosnowiec	2475011	2245075011	21.0435	%	2015
Łubowo	3003062	4305803062	21.0471	%	2015
Zaklików	1818053	3183618053	21.0497	%	2015
Krasne	1422052	1142622052	21.0571	%	2015
Głubczyce	1602033	5163202033	21.0675	%	2015
Krasnosielc	1411042	1142611042	21.1092	%	2015
Paczków	1607073	5163107073	21.1137	%	2015
Sieciechów	1407072	1142707072	21.1164	%	2015
Trzebiechów	0809082	4081409082	21.1343	%	2015
Mirsk	0212043	5020112043	21.153	%	2015
Oporów	1002092	1101902092	21.1584	%	2015
Dubeninki	2818022	6285518022	21.1854	%	2015
Izbica Kujawska	0418083	6040818083	21.1919	%	2015
Milanów	0613032	3060913032	21.226	%	2015
Luzino	2215072	6224015072	21.2263	%	2015
Szamocin	3001053	4306001053	21.2535	%	2015
Regimin	1402082	1142502082	21.2621	%	2015
Medyka	1813062	3183413062	21.2629	%	2015
Kaźmierz	3024032	4306124032	21.2658	%	2015
Kock	0608063	3061108063	21.284	%	2015
Gielniów	1423022	1142723022	21.3357	%	2015
Deszczno	0801032	4081301032	21.3478	%	2015
Siekierczyn	0210072	5020110072	21.3675	%	2015
Lipinki Łużyckie	0811052	4081411052	21.3677	%	2015
Knyszyn	2008043	3203908043	21.3892	%	2015
Złotów-wieś	3031082	4306031082	21.4249	%	2015
Płużnica	0417042	6040717042	21.4396	%	2015
Siemyśl	3208062	4326308062	21.4608	%	2015
Stryszów	1218072	2122318072	21.4685	%	2015
Radziejów-wieś	0411062	6040811062	21.4737	%	2015
Wieliczki	2813062	6285513062	21.4767	%	2015
Nowe Ostrowy	1002082	1101902082	21.5104	%	2015
Goleszów	2403072	2244403072	21.5321	%	2015
Gołcza	1208022	2122008022	21.536	%	2015
Wieprz	1218102	2122318102	21.536	%	2015
Ustroń	2403021	2244403021	21.5709	%	2015
Wielkie Oczy	1809082	3183409082	21.5741	%	2015
Inowrocław-wieś	0407042	6040807042	21.5914	%	2015
Czorsztyn	1211042	2122211042	21.5927	%	2015
Mszana Dolna-wieś	1207092	2122207092	21.6025	%	2015
Olesno	1204052	2122404052	21.6053	%	2015
Babice	1203022	2122303022	21.6209	%	2015
Dobrcz	0403032	6040603032	21.6322	%	2015
Opinogóra Górna	1402072	1142502072	21.6425	%	2015
Miedźna	2410032	2245110032	21.6483	%	2015
Tarnówka	3031062	4306031062	21.6493	%	2015
Gniew	2214023	6224214023	21.6555	%	2015
Winnica	1424062	1142624062	21.6759	%	2015
Łęczna	0610033	3061110033	21.6814	%	2015
Turobin	0602142	3061002142	21.7755	%	2015
Samborzec	2609072	3265309072	21.8319	%	2015
Tułowice	1609122	5163209122	21.8427	%	2015
Jedlnia-Letnisko	1425062	1142725062	21.845	%	2015
Nowy Dwór	2011062	3203711062	21.9086	%	2015
Rudnik nad Sanem	1812063	3183612063	21.9165	%	2015
Rogoźno	3016023	4306116023	21.9226	%	2015
Smyków	2605072	3265205072	21.9415	%	2015
Lipce Reymontowskie	1015052	1101915052	21.9445	%	2015
Łużna	1205062	2122205062	21.9936	%	2015
Kostrzyn	3021083	4306121083	22.0146	%	2015
Ostrów Mazowiecka-wieś	1416072	1142616072	22.038	%	2015
Lipnica Murowana	1201042	2122001042	22.0427	%	2015
Buczkowice	2402032	2244402032	22.0577	%	2015
Celestynów	1417032	1142917032	22.0594	%	2015
Łęczyce	2215082	6224015082	22.1269	%	2015
Łęczyca-miasto	1004011	1101904011	22.1288	%	2015
Andrychów	1218013	2122318013	22.1346	%	2015
Raczki	2012052	3203912052	22.1609	%	2015
Strzelno	0409043	6040809043	22.1923	%	2015
Kolno-wieś	2006032	3203806032	22.1937	%	2015
Gogolin	1605013	5163205013	22.2054	%	2015
Wartkowice	1011052	1101811052	22.2177	%	2015
Żary-miasto	0811021	4081411021	22.239	%	2015
Skała	1206103	2122006103	22.251	%	2015
Ciechocinek	0401021	6040801021	22.2551	%	2015
Zamość-miasto	0664011	3061064011	22.2675	%	2015
Obsza	0602102	3061002102	22.2693	%	2015
Węgorzewo	2819033	6285519033	22.2771	%	2015
Stoczek Łukowski-miasto	0611021	3061211021	22.286	%	2015
Dołhobyczów	0604022	3061004022	22.3361	%	2015
Lipno-miasto	0408011	6040808011	22.3434	%	2015
Zawidów	0225011	5020125011	22.3539	%	2015
Jordanów-wieś	1215052	2122315052	22.3778	%	2015
Kotlin	3006032	4305706032	22.4231	%	2015
Piaseczno	1418043	1143018043	22.435	%	2015
Charsznica	1208012	2122008012	22.4409	%	2015
Dąbie	0802042	4081402042	22.4933	%	2015
Wiskitki	1438052	1143038052	22.532	%	2015
Polanica-Zdrój	0208051	5020308051	22.5416	%	2015
Ciechanów-wieś	1402022	1142502022	22.5522	%	2015
Lisewo	0404042	6040704042	22.5879	%	2015
Spytkowice	1218062	2122318062	22.6063	%	2015
Frombork	2802033	6285402033	22.6621	%	2015
Tarnowskie Góry	2413041	2244513041	22.6802	%	2015
Reszel	2808053	6285608053	22.6816	%	2015
Prochowice	0209073	5020209073	22.6836	%	2015
Niechlów	0204032	5020204032	22.6918	%	2015
Władysławów	3027092	4305827092	22.6986	%	2015
Korczew	1426022	1142626022	22.7134	%	2015
Paszowice	0205052	5020105052	22.7594	%	2015
Spytkowice	1211132	2122211132	22.7775	%	2015
Chełmiec	1210022	2122210022	22.7865	%	2015
Damnica	2212022	6224112022	22.8001	%	2015
Fabianki	0418072	6040818072	22.8069	%	2015
Aleksandrów Kujawski-miasto	0401011	6040801011	22.8108	%	2015
Zagórów	3023083	4305823083	22.8185	%	2015
Rząśnia	1009052	1101809052	22.8391	%	2015
Lubawka	0207033	5020107033	22.8507	%	2015
Kocierzew Południowy	1005062	1101905062	22.8777	%	2015
Kalwaria Zebrzydowska	1218033	2122318033	22.8858	%	2015
Świątniki Górne	1206143	2122006143	22.9053	%	2015
Żychlin	1002113	1101902113	22.9535	%	2015
Żurawica	1813102	3183413102	22.9697	%	2015
Lniano	0414052	6040714052	22.9721	%	2015
Ryki	0616043	3061216043	22.9726	%	2015
Nowa Sarzyna	1808053	3183608053	22.9922	%	2015
Skulsk	3010092	4305810092	23.0039	%	2015
Wola Krzysztoporska	1010102	1101710102	23.0064	%	2015
Choroszcz	2002013	3203702013	23.0079	%	2015
Lgota Wielka	1012082	1101712082	23.0185	%	2015
Klucze	1212042	2122312042	23.0251	%	2015
Liw	1433042	1142633042	23.0858	%	2015
Widawa	1003042	1101803042	23.1169	%	2015
Słupca-miasto	3023011	4305823011	23.1186	%	2015
Turawa	1609132	5163209132	23.1395	%	2015
Brzeżno	3216022	4326316022	23.1438	%	2015
